Vivado Simulator 2020.1
Time resolution is 1 ps
------------------------------------------------------------
Time	PC		x1	x2	x3	x4	x5
------------------------------------------------------------
20000	00000004	         5	         0	         0	         0	         0
30000	00000008	         5	        10	         0	         0	         0
40000	0000000c	         5	        10	         1	         0	         0
50000	00000014	         5	        10	         1	         0	         0
60000	00000018	         5	        10	         1	         0	         0
70000	00000000	         5	        10	         1	         0	         0
80000	00000004	         5	        10	         1	         0	         0
90000	00000008	         5	        10	         1	         0	         0
100000	0000000c	         5	        10	         1	         0	         0
110000	00000014	         5	        10	         1	         0	         0
120000	00000018	         5	        10	         1	         0	         0
130000	00000000	         5	        10	         1	         0	         0
140000	00000004	         5	        10	         1	         0	         0
150000	00000008	         5	        10	         1	         0	         0
160000	0000000c	         5	        10	         1	         0	         0
170000	00000014	         5	        10	         1	         0	         0
180000	00000018	         5	        10	         1	         0	         0
190000	00000000	         5	        10	         1	         0	         0
200000	00000004	         5	        10	         1	         0	         0
210000	00000008	         5	        10	         1	         0	         0
------------------------------------------------------------
$finish called at time : 210 ns : File "C:/Users/Administrator/Desktop/Ca Lab/calab11finalthing/calab11finalthing.srcs/sim_1/new/tb_task2.v" Line 84
